NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,PIT_TIME,CLASS,GROUP,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,IM1a_time,IM1a_elapsed,IM1_time,IM1_elapsed,IM2a_time,IM2a_elapsed,IM2_time,IM2_elapsed,IM3a_time,IM3a_elapsed,FL_time,FL_elapsed
3,1,1,0 days 00:01:54.168000,0,,33.413,0,,0,,0,116.7,,42:35.3,0 days 00:00:33.413000,0 days 00:00:43.534000,0 days 00:00:37.221000,182.1,,Am,,Toyota Gazoo Racing,FCY,33.413,43.534,37.221,22.57,22.57,10.843,33.413,30.646,0 days 00:01:04.059000,12.888,0 days 00:01:16.947000,11.8,0 days 00:01:28.747000,,0 days 00:01:54.168000
3,1,2,0 days 00:02:13.691000,0,,39.57,0,,0,,0,99.7,,44:49.0,0 days 00:00:39.570000,0 days 00:00:57.345000,0 days 00:00:36.776000,145.2,,Am,,Toyota Gazoo Racing,FCY,39.57,57.345,36.776,20.769,20.769,18.801,39.57,35.764,0 days 00:01:15.334000,21.581,0 days 00:01:36.915000,13.529,0 days 00:01:50.444000,,0 days 00:02:13.691000
3,1,3,0 days 00:01:58.021000,0,,33.801,0,,0,,0,112.9,,46:47.0,0 days 00:00:33.801000,0 days 00:00:49.853000,0 days 00:00:34.367000,156.1,,Am,,Toyota Gazoo Racing,GF,33.801,49.853,34.367,21.444,21.444,12.357,33.801,34.462,0 days 00:01:08.263000,15.391,0 days 00:01:23.654000,13.223,0 days 00:01:36.877000,,0 days 00:01:58.021000
3,1,4,0 days 00:01:40.861000,0,,27.568,0,,0,,0,132.1,,48:27.9,0 days 00:00:27.568000,0 days 00:00:43.834000,0 days 00:00:29.459000,182.1,,Am,,Toyota Gazoo Racing,GF,27.568,43.834,29.459,17.515,17.515,10.053,27.568,30.912,,12.922,0 days 00:01:11.402000,11.353,0 days 00:01:22.755000,,0 days 00:01:40.861000
3,1,5,0 days 00:01:39.725000,0,,27.214,0,,0,,0,133.6,,50:07.6,0 days 00:00:27.214000,0 days 00:00:43.389000,0 days 00:00:29.122000,183.1,,Am,,Toyota Gazoo Racing,GF,27.214,43.389,29.122,17.277,17.277,9.937,27.214,30.557,,12.832,0 days 00:01:10.603000,11.158,0 days 00:01:21.761000,,0 days 00:01:39.725000
3,1,6,0 days 00:01:40.323000,0,,27.148,0,,0,,0,132.8,,51:47.9,0 days 00:00:27.148000,0 days 00:00:43.678000,0 days 00:00:29.497000,184.3,,Am,,Toyota Gazoo Racing,GF,27.148,43.678,29.497,17.269,17.269,9.879,27.148,30.914,,12.764,0 days 00:01:10.826000,11.395,0 days 00:01:22.221000,,0 days 00:01:40.323000
3,1,7,0 days 00:01:39.387000,0,,27.037,0,,0,,0,134.1,,53:27.3,0 days 00:00:27.037000,0 days 00:00:43.088000,0 days 00:00:29.262000,184.3,,Am,,Toyota Gazoo Racing,GF,27.037,43.088,29.262,17.113,17.113,9.924,27.037,30.284,,12.804,0 days 00:01:10.125000,11.32,0 days 00:01:21.445000,,0 days 00:01:39.387000
3,1,8,0 days 00:01:39.870000,0,,27.165,0,,0,,0,133.4,,55:07.2,0 days 00:00:27.165000,0 days 00:00:43.421000,0 days 00:00:29.284000,182.1,,Am,,Toyota Gazoo Racing,GF,27.165,43.421,29.284,17.206,17.206,9.959,27.165,30.558,,12.863,0 days 00:01:10.586000,11.283,0 days 00:01:21.869000,,0 days 00:01:39.870000
3,1,9,0 days 00:01:39.167000,2,,27.076,0,,2,,0,134.4,,56:46.4,0 days 00:00:27.076000,0 days 00:00:42.981000,0 days 00:00:29.110000,183.1,,Am,,Toyota Gazoo Racing,GF,27.076,42.981,29.11,17.178,17.178,9.898,27.076,30.182,,12.799,0 days 00:01:10.057000,11.042,0 days 00:01:21.099000,,0 days 00:01:39.167000
3,1,10,0 days 00:01:39.284000,0,,26.961,2,,0,,0,134.2,,58:25.7,0 days 00:00:26.961000,0 days 00:00:43.160000,0 days 00:00:29.163000,183.1,,Am,,Toyota Gazoo Racing,GF,26.961,43.16,29.163,17.065,17.065,9.896,26.961,30.324,,12.836,0 days 00:01:10.121000,11.281,0 days 00:01:21.402000,,0 days 00:01:39.284000
