TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1757184078;9/6/2025 6:41:18 PM;29.8;0;56.75;992.9;2.88;342;0
1757184141;9/6/2025 6:42:21 PM;29.87;0;57.23;993.0;5.04;280;0
1757184204;9/6/2025 6:43:24 PM;29.79;0;57.05;993.0;4.68;30;0
1757184266;9/6/2025 6:44:26 PM;29.75;0;57.42;992.9;3.96;11;0
1757184329;9/6/2025 6:45:29 PM;29.78;0;56.75;992.8;10.44;299;0
1757184392;9/6/2025 6:46:32 PM;29.56;0;56.83;992.8;6.12;264;0
1757184455;9/6/2025 6:47:35 PM;29.38;0;56.98;992.7;11.16;318;0
1757184517;9/6/2025 6:48:37 PM;29.28;0;57.57;992.7;3.96;322;0
1757184580;9/6/2025 6:49:40 PM;29.28;0;58.12;992.8;3.6;359;0
1757184643;9/6/2025 6:50:43 PM;29.44;0;57.86;992.7;6.48;286;0
1757184705;9/6/2025 6:51:45 PM;29.44;0;57.74;992.7;6.48;314;0
1757184768;9/6/2025 6:52:48 PM;29.45;0;58.2;992.8;4.68;327;0
1757184831;9/6/2025 6:53:51 PM;29.41;0;57.57;992.7;3.96;307;0
1757184893;9/6/2025 6:54:53 PM;29.44;0;58.33;992.7;3.24;60;0
1757184956;9/6/2025 6:55:56 PM;29.65;0;57.8;992.6;4.32;45;0
1757185019;9/6/2025 6:56:59 PM;29.91;0;57.46;992.7;1.44;331;0
1757185081;9/6/2025 6:58:01 PM;30.17;0;56.99;992.7;2.88;171;0
1757185144;9/6/2025 6:59:04 PM;30.35;0;56.7;992.7;2.88;65;0
1757185207;9/6/2025 7:00:07 PM;30.62;0;55.27;992.6;4.68;64;0
1757185269;9/6/2025 7:01:09 PM;30.68;0;55.14;992.6;2.52;11;0
1757185332;9/6/2025 7:02:12 PM;30.72;0;54.8;992.4;6.12;320;0
1757185395;9/6/2025 7:03:15 PM;30.7;0;55.69;992.5;7.56;316;0
1757185458;9/6/2025 7:04:18 PM;30.63;0;55.12;992.5;6.48;306;0
1757185520;9/6/2025 7:05:20 PM;30.5;0;55.25;992.5;3.6;40;0
1757185583;9/6/2025 7:06:23 PM;30.47;0;54.15;992.4;2.16;4;0
1757185646;9/6/2025 7:07:26 PM;30.5;0;54.51;992.4;3.96;280;0
1757185708;9/6/2025 7:08:28 PM;30.43;0;54.14;992.3;3.96;358;0
1757185771;9/6/2025 7:09:31 PM;30.41;0;54.2;992.4;2.88;324;0
1757185834;9/6/2025 7:10:34 PM;30.29;0;54.45;992.3;3.24;332;0
1757185896;9/6/2025 7:11:36 PM;30.14;0;53.99;992.3;3.24;353;0
1757185959;9/6/2025 7:12:39 PM;30.12;0;54.38;992.3;0.36;42;0
1757186022;9/6/2025 7:13:42 PM;30.18;0;54.33;992.2;1.08;340;0
1757186084;9/6/2025 7:14:44 PM;30.31;0;54.19;992.2;1.8;1;0
1757186147;9/6/2025 7:15:47 PM;30.58;0;54.4;992.3;2.16;352;0
1757186210;9/6/2025 7:16:50 PM;30.75;0;54.14;992.1;2.88;343;0
1757186272;9/6/2025 7:17:52 PM;30.91;0;54.26;992.2;3.6;16;0
1757186335;9/6/2025 7:18:55 PM;30.9;0;54.65;992.3;3.96;326;0
1757186398;9/6/2025 7:19:58 PM;30.9;0;53.58;992.2;6.12;274;0
1757186461;9/6/2025 7:21:01 PM;30.73;0;53.66;992.2;3.24;358;0
1757186523;9/6/2025 7:22:03 PM;30.63;0;53.48;992.0;5.4;358;0
1757186586;9/6/2025 7:23:06 PM;30.53;0;53.73;992.0;2.16;29;0
1757186649;9/6/2025 7:24:09 PM;30.4;0;53.83;991.9;0.72;29;0
1757186711;9/6/2025 7:25:11 PM;30.41;0;54.49;991.9;1.08;279;0
